date,AUDUSD Curncy,EURUSD Curncy,GBPUSD Curncy,NZDUSD Curncy,USDCAD Curncy,USDCHF Curncy,USDJPY Curncy,USDNOK Curncy,USDSEK Curncy
2019-01-01,0.7053,1.1465,1.274,0.6717,1.3631,0.9816,109.74,8.6443,8.8716
2019-01-02,0.6985,1.1344,1.2607,0.6655,1.3579,0.9901,108.88,8.7164,9.017
2019-01-03,0.7006,1.1394,1.2628,0.6693,1.3488,0.9868,107.68,8.6899,9.0014
2019-01-04,0.7113,1.1395,1.2723,0.6732,1.3374,0.9876,108.51,8.6137,8.9682
2019-01-07,0.7148,1.1474,1.2777,0.6755,1.3299,0.9797,108.72,8.5322,8.8962
2019-01-08,0.714,1.1441,1.2717,0.6723,1.3274,0.9813,108.75,8.5507,8.9273
2019-01-09,0.717,1.1543,1.2789,0.6788,1.3209,0.9744,108.17,8.4686,8.8698
2019-01-10,0.7185,1.15,1.2747,0.678,1.3236,0.9845,108.43,8.4781,8.9042
2019-01-11,0.7215,1.1469,1.2844,0.6832,1.3267,0.9835,108.48,8.5357,8.9321
2019-01-14,0.7197,1.1469,1.2864,0.6822,1.3285,0.981,108.16,8.549,8.949
2019-01-15,0.7201,1.1413,1.2861,0.6817,1.3266,0.9878,108.68,8.5421,8.9674
2019-01-16,0.7168,1.1392,1.2885,0.6776,1.3255,0.9903,109.09,8.5396,8.9993
2019-01-17,0.7193,1.1389,1.2986,0.6763,1.3279,0.9942,109.26,8.551,9.0192
2019-01-18,0.7168,1.1363,1.2872,0.6743,1.326,0.9954,109.78,8.5617,9.0281
2019-01-21,0.7159,1.1365,1.2892,0.6732,1.3294,0.9972,109.67,8.5622,9.0166
2019-01-22,0.7124,1.136,1.2954,0.6751,1.3355,0.9973,109.37,8.6015,9.0268
2019-01-23,0.7142,1.1381,1.3069,0.6788,1.3343,0.9949,109.6,8.566,9.0221
2019-01-24,0.7094,1.1304,1.3066,0.6763,1.335,0.9964,109.64,8.5881,9.0852
2019-01-25,0.7179,1.1406,1.3196,0.6839,1.3218,0.9939,109.55,8.5132,9.0488
2019-01-28,0.7166,1.1428,1.3163,0.683,1.3262,0.9918,109.35,8.5107,9.0553
2019-01-29,0.7155,1.1433,1.3066,0.6834,1.3269,0.9946,109.4,8.4983,9.0685
2019-01-30,0.7248,1.148,1.3116,0.6894,1.3149,0.9942,109.04,8.4251,9.0447
2019-01-31,0.7273,1.1448,1.3109,0.6916,1.3125,0.9942,108.89,8.4299,9.0477
2019-02-01,0.725,1.1456,1.3079,0.69,1.3102,0.9956,109.5,8.4385,9.0507
2019-02-04,0.7226,1.1438,1.3037,0.6896,1.311,0.9978,109.89,8.4615,9.1022
2019-02-05,0.7234,1.1406,1.2945,0.6896,1.3126,0.9998,109.96,8.4848,9.1156
2019-02-06,0.7105,1.1362,1.2932,0.6776,1.3214,1.0021,109.97,8.5427,9.2051
2019-02-07,0.7101,1.1341,1.2952,0.6749,1.3308,1.0021,109.82,8.5958,9.2612
2019-02-08,0.7088,1.1323,1.2944,0.674,1.3278,1.0005,109.73,8.6376,9.2741
2019-02-11,0.7062,1.1276,1.2855,0.6733,1.3302,1.0039,110.38,8.7171,9.3078
2019-02-12,0.7095,1.1326,1.2892,0.6736,1.3238,1.0067,110.48,8.6505,9.2602
2019-02-13,0.709,1.1261,1.2846,0.6797,1.3254,1.0092,111.01,8.6616,9.2691
2019-02-14,0.7106,1.1295,1.2803,0.6837,1.3295,1.0049,110.48,8.6496,9.2905
2019-02-15,0.7141,1.1296,1.2889,0.6868,1.3244,1.0052,110.47,8.6354,9.2829
2019-02-18,0.713,1.1311,1.2924,0.6848,1.324,1.0049,110.62,8.6104,9.2649
2019-02-19,0.7165,1.1341,1.3062,0.6883,1.3211,1.001,110.63,8.5665,9.3111
2019-02-20,0.7165,1.1338,1.305,0.6857,1.3176,1.0003,110.85,8.5879,9.3227
2019-02-21,0.7092,1.1336,1.3043,0.6801,1.3232,1.001,110.7,8.6237,9.3632
2019-02-22,0.7129,1.1335,1.3053,0.6846,1.3135,1.0004,110.69,8.613,9.3457
2019-02-25,0.7167,1.1358,1.3097,0.6884,1.3187,1.0007,111.06,8.5949,9.3095
2019-02-26,0.7186,1.1389,1.3252,0.6888,1.3169,0.9996,110.59,8.5636,9.2826
2019-02-27,0.7138,1.137,1.3309,0.6848,1.3156,1.0015,111,8.5567,9.2717
2019-02-28,0.7094,1.1371,1.3263,0.6807,1.3172,0.9982,111.39,8.5619,9.2386
2019-03-01,0.7079,1.1365,1.3202,0.68,1.3297,0.9993,111.89,8.5809,9.269
2019-03-04,0.7092,1.134,1.318,0.6819,1.3303,0.999,111.75,8.645,9.3379
2019-03-05,0.7084,1.1308,1.3178,0.6791,1.335,1.0041,111.89,8.6625,9.3098
2019-03-06,0.7032,1.1307,1.317,0.6769,1.3442,1.0049,111.77,8.6651,9.3017
2019-03-07,0.7016,1.1193,1.3085,0.6754,1.3455,1.0113,111.58,8.7797,9.4556
2019-03-08,0.7045,1.1235,1.3015,0.6804,1.3416,1.0082,111.17,8.7684,9.4342
2019-03-11,0.707,1.1245,1.315,0.683,1.3394,1.0106,111.21,8.6657,9.3982
2019-03-12,0.7082,1.1288,1.3075,0.6861,1.3354,1.0077,111.36,8.6329,9.3641
2019-03-13,0.7094,1.1327,1.3338,0.6858,1.3302,1.0041,111.17,8.5633,9.2906
2019-03-14,0.7064,1.1304,1.3242,0.6823,1.3335,1.0038,111.7,8.5712,9.3051
2019-03-15,0.7085,1.1326,1.329,0.6846,1.3336,1.0021,111.48,8.5298,9.2297
2019-03-18,0.7104,1.1337,1.3255,0.6853,1.3334,1.0014,111.43,8.5459,9.2293
2019-03-19,0.7088,1.1352,1.3268,0.6855,1.332,0.9992,111.39,8.5266,9.2063
2019-03-20,0.7116,1.1413,1.3198,0.6883,1.3305,0.9926,110.7,8.5005,9.1383
2019-03-21,0.7112,1.1374,1.3107,0.6877,1.3364,0.992,110.82,8.4544,9.1734
2019-03-22,0.7083,1.1302,1.3209,0.6879,1.3429,0.9936,109.92,8.5593,9.2796
2019-03-25,0.7112,1.1312,1.3195,0.6909,1.3404,0.9924,109.97,8.5343,9.2399
2019-03-26,0.7135,1.1266,1.3212,0.6907,1.3381,0.9944,110.64,8.5452,9.2447
2019-03-27,0.7084,1.1244,1.3189,0.6797,1.3409,0.9949,110.51,8.6285,9.2784
2019-03-28,0.7074,1.1221,1.3044,0.6777,1.3438,0.9956,110.63,8.6411,9.2941
2019-03-29,0.7096,1.1218,1.3035,0.6804,1.3349,0.9952,110.86,8.6267,9.2917
2019-04-01,0.7112,1.1213,1.3103,0.6806,1.3307,0.9987,111.35,8.585,9.2812
2019-04-02,0.7071,1.1204,1.3128,0.6758,1.3337,0.9979,111.32,8.6026,9.3279
2019-04-03,0.7113,1.1233,1.3158,0.6778,1.3345,0.9982,111.49,8.5728,9.2695
2019-04-04,0.7112,1.1221,1.3077,0.6754,1.3359,1,111.66,8.602,9.2852
2019-04-05,0.7105,1.1216,1.3038,0.673,1.3384,1.0003,111.73,8.6102,9.303
2019-04-08,0.7127,1.1263,1.3061,0.6741,1.3314,0.9989,111.48,8.5471,9.2611
2019-04-09,0.7124,1.1263,1.3052,0.6745,1.333,1,111.14,8.5569,9.2588
2019-04-10,0.7171,1.1274,1.3091,0.6766,1.3319,1.0027,111.01,8.497,9.2628
2019-04-11,0.7124,1.1253,1.3058,0.6728,1.3383,1.003,111.66,8.5363,9.2891
2019-04-12,0.7173,1.1299,1.3074,0.6763,1.3323,1.0024,112.02,8.4879,9.2702
2019-04-15,0.7173,1.1304,1.31,0.6763,1.3367,1.0041,112.04,8.4956,9.2683
2019-04-16,0.7175,1.1281,1.3048,0.6763,1.335,1.008,112,8.4923,9.2581
2019-04-17,0.7179,1.1296,1.3043,0.6727,1.3341,1.0105,112.06,8.4949,9.2487
2019-04-18,0.7151,1.123,1.2991,0.6682,1.3376,1.0154,111.97,8.5154,9.3106
2019-04-19,0.7152,1.1245,1.2993,0.6684,1.3391,1.0146,111.92,8.5133,9.3015
2019-04-22,0.7134,1.1257,1.2982,0.668,1.3347,1.0154,111.94,8.4987,9.3066
2019-04-23,0.7102,1.1227,1.2938,0.6657,1.3423,1.0203,111.86,8.5446,9.3504
2019-04-24,0.7015,1.1155,1.2902,0.6593,1.3493,1.0204,112.19,8.6373,9.4343
2019-04-25,0.7015,1.1132,1.2899,0.6626,1.3485,1.0203,111.63,8.6706,9.5394
2019-04-26,0.7042,1.1151,1.2916,0.6662,1.3455,1.0196,111.58,8.684,9.4965
2019-04-29,0.7056,1.1186,1.2937,0.6666,1.3458,1.0197,111.65,8.6581,9.5107
2019-04-30,0.7048,1.1215,1.3032,0.6675,1.3388,1.0193,111.42,8.6297,9.4883
2019-05-01,0.7015,1.1196,1.305,0.6623,1.3446,1.0181,111.38,8.6729,9.542
2019-05-02,0.7,1.1172,1.3032,0.6618,1.3475,1.0191,111.51,8.7563,9.5774
2019-05-03,0.7018,1.1198,1.3173,0.6647,1.342,1.0166,111.1,8.7051,9.5435
2019-05-06,0.6991,1.1199,1.3097,0.6614,1.3448,1.018,110.76,8.7195,9.5701
2019-05-07,0.7012,1.1191,1.3075,0.6604,1.3474,1.0196,110.26,8.7413,9.5947
2019-05-08,0.6988,1.1192,1.3006,0.6575,1.3479,1.0203,110.1,8.7692,9.6174
2019-05-09,0.6989,1.1215,1.3014,0.6591,1.3477,1.015,109.74,8.7837,9.6534
2019-05-10,0.7002,1.1233,1.2998,0.6597,1.3417,1.0118,109.95,8.7136,9.6118
2019-05-13,0.6944,1.1222,1.2958,0.6567,1.3478,1.0064,109.3,8.7674,9.6401
2019-05-14,0.6944,1.1204,1.2905,0.6576,1.3462,1.0087,109.61,8.7453,9.6029
2019-05-15,0.6928,1.1201,1.2845,0.6564,1.3438,1.0087,109.6,8.7206,9.6001
2019-05-16,0.6892,1.1174,1.2798,0.6536,1.346,1.01,109.85,8.7442,9.6373
2019-05-17,0.6868,1.1158,1.2724,0.6519,1.3458,1.011,110.08,8.7949,9.6417
2019-05-20,0.6908,1.1166,1.2726,0.6534,1.3429,1.0086,110.06,8.7916,9.6597
2019-05-21,0.6883,1.1161,1.2706,0.6507,1.3406,1.0111,110.5,8.7656,9.6569
2019-05-22,0.6882,1.115,1.2665,0.6495,1.3435,1.0097,110.36,8.7588,9.633
2019-05-23,0.6901,1.1181,1.2657,0.652,1.3474,1.0033,109.61,8.7593,9.6168
2019-05-24,0.6927,1.1203,1.2714,0.6553,1.3437,1.0022,109.31,8.6894,9.5414
2019-05-27,0.6918,1.1194,1.2679,0.6545,1.3444,1.0038,109.51,8.7068,9.5812
2019-05-28,0.6924,1.116,1.2653,0.6543,1.3494,1.0077,109.38,8.7243,9.599
2019-05-29,0.6917,1.1131,1.2626,0.6512,1.3519,1.0079,109.59,8.7529,9.5587
2019-05-30,0.6912,1.1129,1.2608,0.6511,1.35,1.0078,109.62,8.7719,9.5399
2019-05-31,0.6938,1.1169,1.2629,0.6531,1.3516,1.0006,108.29,8.7573,9.4961
2019-06-03,0.6977,1.1241,1.2664,0.6598,1.3438,0.9925,108.07,8.7095,9.4458
2019-06-04,0.6991,1.1252,1.2698,0.6608,1.3394,0.9922,108.15,8.6957,9.4358
2019-06-05,0.697,1.1221,1.2687,0.6619,1.3415,0.9948,108.46,8.7408,9.4431
2019-06-06,0.6977,1.1276,1.2694,0.6622,1.3362,0.9912,108.4,8.6913,9.4193
2019-06-07,0.7001,1.1334,1.2737,0.6665,1.3267,0.9877,108.19,8.6259,9.399
2019-06-10,0.6961,1.1312,1.2685,0.6609,1.3269,0.9898,108.45,8.6539,9.4183
2019-06-11,0.6962,1.1326,1.2725,0.6582,1.3284,0.9924,108.52,8.6304,9.4452
2019-06-12,0.6928,1.1287,1.2689,0.6574,1.3343,0.9955,108.5,8.6599,9.4749
2019-06-13,0.6915,1.1276,1.2674,0.6568,1.3327,0.994,108.38,8.6803,9.4831
2019-06-14,0.6872,1.1208,1.2589,0.6492,1.3414,0.999,108.56,8.715,9.4905
2019-06-17,0.6853,1.1218,1.2534,0.6495,1.3413,0.9991,108.54,8.7348,9.48
2019-06-18,0.6877,1.1194,1.2558,0.653,1.3377,1.0005,108.45,8.7455,9.535
